scope,cve,count
overall,CVE-2005-4881,38
overall,CVE-2019-19532,28
overall,CVE-2018-8799,20
overall,CVE-2021-3416,18
overall,CVE-2019-19275,16
overall,CVE-2013-6825,16
overall,CVE-2018-16643,14
overall,CVE-2014-0143,14
overall,CVE-2013-0169,14
overall,CVE-2020-8265,14
overall,CVE-2019-19083,14
overall,CVE-2014-3184,12
overall,CVE-2013-7270,12
overall,CVE-2020-11089,12
overall,CVE-2021-3712,12
overall,CVE-2015-5330,10
overall,CVE-2018-20846,10
overall,CVE-2016-0826,10
overall,CVE-2014-0064,10
overall,CVE-2019-19082,10
overall,CVE-2021-20305,10
overall,CVE-2009-3001,9
overall,CVE-2009-3605,8
overall,CVE-2014-4502,8
overall,CVE-2019-13219,8
overall,CVE-2013-1824,8
overall,CVE-2014-8321,8
overall,CVE-2017-6903,8
overall,CVE-2021-41206,8
overall,CVE-2017-14500,8
overall,CVE-2020-5208,8
overall,CVE-2014-0144,8
overall,CVE-2014-6272,8
overall,CVE-2018-5711,8
overall,CVE-2019-12974,8
overall,CVE-2018-14044,8
overall,CVE-2020-1971,8
overall,CVE-2021-36978,8
overall,CVE-2017-15994,6
overall,CVE-2013-0166,6
overall,CVE-2012-1573,6
overall,CVE-2010-4818,6
overall,CVE-2015-3197,6
overall,CVE-2014-9746,6
overall,CVE-2017-7526,6
overall,CVE-2013-6763,6
overall,CVE-2014-2523,6
overall,CVE-2013-7265,6
overall,CVE-2015-1791,6
overall,CVE-2015-0204,6
overall,CVE-2016-4564,6
overall,CVE-2016-1237,6
overall,CVE-2015-8539,6
overall,CVE-2017-8294,6
overall,CVE-2016-10506,6
overall,CVE-2018-16842,6
overall,CVE-2018-15473,6
overall,CVE-2018-1065,6
overall,CVE-2019-11811,6
overall,CVE-2017-9608,6
overall,CVE-2015-3315,6
overall,CVE-2019-1010251,6
overall,CVE-2013-6663,6
overall,CVE-2015-8126,6
overall,CVE-2013-1643,6
overall,CVE-2012-2143,6
overall,CVE-2018-10539,6
overall,CVE-2017-9226,6
overall,CVE-2020-5235,6
overall,CVE-2019-13227,6
overall,CVE-2019-11500,6
overall,CVE-2015-5291,6
overall,CVE-2017-8379,6
overall,CVE-2013-4488,6
overall,CVE-2013-2020,6
overall,CVE-2019-14493,6
overall,CVE-2019-16161,6
overall,CVE-2018-12600,6
overall,CVE-2013-0157,6
overall,CVE-2020-25676,6
overall,CVE-2020-16135,6
overall,CVE-2020-36224,6
overall,CVE-2021-21261,6
overall,CVE-2012-2674,6
overall,CVE-2020-36313,6
overall,CVE-2019-19924,6
overall,CVE-2021-30045,6
overall,CVE-2021-41072,6
overall,CVE-2021-40153,6
overall,CVE-2018-20467,5
overall,CVE-2011-4128,4
overall,CVE-2018-1000039,4
overall,CVE-2013-4130,4
overall,CVE-2018-16863,4
overall,CVE-2017-13090,4
overall,CVE-2013-2236,4
overall,CVE-2015-3195,4
overall,CVE-2015-3194,4
overall,CVE-2009-0946,4
overall,CVE-2017-10971,4
overall,CVE-2015-1793,4
overall,CVE-2019-9923,4
overall,CVE-2017-9727,4
overall,CVE-2012-5667,4
overall,CVE-2018-10194,4
overall,CVE-2016-6262,4
overall,CVE-2018-6790,4
overall,CVE-2016-4008,4
overall,CVE-2014-3567,4
overall,CVE-2014-3564,4
overall,CVE-2014-3468,4
overall,CVE-2016-2342,4
overall,CVE-2017-0379,4
overall,CVE-2014-2013,4
overall,CVE-2016-10218,4
overall,CVE-2011-3936,4
overall,CVE-2016-0798,4
overall,CVE-2016-0702,4
overall,CVE-2016-8610,4
overall,CVE-2018-0737,4
overall,CVE-2018-0735,4
overall,CVE-2018-0495,4
overall,CVE-2017-18201,4
overall,CVE-2011-0530,4
overall,CVE-2012-4467,4
overall,CVE-2011-4913,4
overall,CVE-2013-1418,4
overall,CVE-2013-4588,4
overall,CVE-2013-4514,4
overall,CVE-2013-4129,4
overall,CVE-2014-3144,4
overall,CVE-2014-0077,4
overall,CVE-2015-7613,4
overall,CVE-2015-3885,4
overall,CVE-2015-1805,4
overall,CVE-2015-1593,4
overall,CVE-2015-1331,4
overall,CVE-2014-5355,4
overall,CVE-2016-10088,4
overall,CVE-2016-9755,4
overall,CVE-2016-9083,4
overall,CVE-2016-7568,4
overall,CVE-2016-7412,4
overall,CVE-2016-7163,4
overall,CVE-2016-7126,4
overall,CVE-2016-6198,4
overall,CVE-2016-5400,4
overall,CVE-2016-5104,4
overall,CVE-2016-4805,4
overall,CVE-2016-3951,4
overall,CVE-2016-3137,4
overall,CVE-2016-3132,4
overall,CVE-2016-2548,4
overall,CVE-2015-8877,4
overall,CVE-2015-8865,4
overall,CVE-2015-8630,4
overall,CVE-2015-7513,4
overall,CVE-2017-1000252,4
overall,CVE-2017-17805,4
overall,CVE-2017-16546,4
overall,CVE-2017-16525,4
overall,CVE-2017-15924,4
overall,CVE-2017-15537,4
overall,CVE-2017-15265,4
overall,CVE-2017-14174,4
overall,CVE-2017-13715,4
overall,CVE-2017-12669,4
overall,CVE-2017-12668,4
overall,CVE-2017-12667,4
overall,CVE-2017-12665,4
overall,CVE-2017-12664,4
overall,CVE-2017-12663,4
overall,CVE-2017-12641,4
overall,CVE-2017-11523,4
overall,CVE-2017-11448,4
overall,CVE-2017-11447,4
overall,CVE-2017-9984,4
overall,CVE-2017-9763,4
overall,CVE-2017-9150,4
overall,CVE-2017-9143,4
overall,CVE-2017-9141,4
overall,CVE-2017-9077,4
overall,CVE-2017-8890,4
overall,CVE-2017-7586,4
overall,CVE-2017-7418,4
overall,CVE-2017-6874,4
overall,CVE-2017-6309,4
overall,CVE-2017-5507,4
overall,CVE-2017-0375,4
overall,CVE-2016-10200,4
overall,CVE-2016-10130,4
overall,CVE-2016-10070,4
overall,CVE-2016-10066,4
overall,CVE-2016-10054,4
overall,CVE-2016-10051,4
overall,CVE-2016-10050,4
overall,CVE-2015-5203,4
overall,CVE-2016-7906,4
overall,CVE-2016-6823,4
overall,CVE-2015-4054,4
overall,CVE-2014-9922,4
overall,CVE-2018-17407,4
overall,CVE-2018-16644,4
overall,CVE-2018-14350,4
overall,CVE-2018-14351,4
overall,CVE-2018-12460,4
overall,CVE-2018-12232,4
overall,CVE-2018-7186,4
overall,CVE-2018-6196,4
overall,CVE-2017-18218,4
overall,CVE-2017-18174,4
overall,CVE-2014-8130,4
overall,CVE-2019-16347,4
overall,CVE-2019-15148,4
overall,CVE-2019-15139,4
overall,CVE-2019-13137,4
overall,CVE-2019-13134,4
overall,CVE-2019-11599,4
overall,CVE-2019-11472,4
overall,CVE-2019-11470,4
overall,CVE-2019-9162,4
overall,CVE-2019-7397,4
overall,CVE-2019-7175,4
overall,CVE-2018-20847,4
overall,CVE-2018-20836,4
overall,CVE-2018-20761,4
overall,CVE-2018-14466,4
overall,CVE-2018-7191,4
overall,CVE-2010-5332,4
overall,CVE-2013-4592,4
overall,CVE-2012-6544,4
overall,CVE-2017-16359,4
overall,CVE-2017-7277,4
overall,CVE-2016-9933,4
overall,CVE-2016-7530,4
overall,CVE-2012-2870,4
overall,CVE-2013-2906,4
overall,CVE-2014-7904,4
overall,CVE-2014-3191,4
overall,CVE-2016-1618,4
overall,CVE-2016-3872,4
overall,CVE-2016-3861,4
overall,CVE-2016-2476,4
overall,CVE-2015-5296,4
overall,CVE-2019-13638,4
overall,CVE-2015-1345,4
overall,CVE-2015-8374,4
overall,CVE-2017-14172,4
overall,CVE-2017-13139,4
overall,CVE-2017-12666,4
overall,CVE-2017-12644,4
overall,CVE-2017-6415,4
overall,CVE-2016-10052,4
overall,CVE-2018-16640,4
overall,CVE-2016-9583,4
overall,CVE-2013-6420,4
overall,CVE-2015-7804,4
overall,CVE-2017-11144,4
overall,CVE-2017-11143,4
overall,CVE-2012-6113,4
overall,CVE-2014-9426,4
overall,CVE-2016-7157,4
overall,CVE-2016-3185,4
overall,CVE-2016-3142,4
overall,CVE-2016-2538,4
overall,CVE-2015-8867,4
overall,CVE-2013-4544,4
overall,CVE-2014-0145,4
overall,CVE-2018-10017,4
overall,CVE-2019-17113,4
overall,CVE-2012-2673,4
overall,CVE-2014-8116,4
overall,CVE-2014-2270,4
overall,CVE-2017-9465,4
overall,CVE-2013-1788,4
overall,CVE-2016-10171,4
overall,CVE-2016-10165,4
overall,CVE-2018-10537,4
overall,CVE-2021-41203,4
overall,CVE-2021-45942,4
overall,CVE-2022-32545,4
overall,CVE-2017-14641,4
overall,CVE-2020-26164,4
overall,CVE-2014-2209,4
overall,CVE-2019-3557,4
overall,CVE-2017-12476,4
overall,CVE-2016-0740,4
overall,CVE-2018-14355,4
overall,CVE-2018-20457,4
overall,CVE-2019-19624,4
overall,CVE-2019-13615,4
overall,CVE-2017-14646,4
overall,CVE-2020-27787,4
overall,CVE-2022-32547,4
overall,CVE-2021-37648,4
overall,CVE-2022-1195,4
overall,CVE-2017-1000158,4
overall,CVE-2019-18391,4
overall,CVE-2017-15056,4
overall,CVE-2020-12783,4
overall,CVE-2019-7398,4
overall,CVE-2022-24448,4
overall,CVE-2019-12975,4
overall,CVE-2015-7691,4
overall,CVE-2018-18544,4
overall,CVE-2018-1140,4
overall,CVE-2019-12979,4
overall,CVE-2014-8627,4
overall,CVE-2020-25660,4
overall,CVE-2008-3546,4
overall,CVE-2018-16412,4
overall,CVE-2020-25669,4
overall,CVE-2015-2716,4
overall,CVE-2011-3603,4
overall,CVE-2018-8779,4
overall,CVE-2016-2087,4
overall,CVE-2021-20224,4
overall,CVE-2020-36279,4
overall,CVE-2019-19646,4
overall,CVE-2019-13114,4
overall,CVE-2020-12284,4
overall,CVE-2018-19132,4
overall,CVE-2020-28896,4
overall,CVE-2018-14345,4
overall,CVE-2019-18853,4
overall,CVE-2020-27827,4
overall,CVE-2007-1320,4
overall,CVE-2019-10063,4
overall,CVE-2018-14436,4
overall,CVE-2019-3824,4
overall,CVE-2019-25050,4
overall,CVE-2016-10906,4
overall,CVE-2019-11459,4
overall,CVE-2018-16880,4
overall,CVE-2016-5095,4
overall,CVE-2020-25651,4
overall,CVE-2014-0249,4
overall,CVE-2019-18397,4
overall,CVE-2017-17787,4
overall,CVE-2019-3843,4
overall,CVE-2019-11039,4
overall,CVE-2019-12977,4
overall,CVE-2019-16713,4
overall,CVE-2019-19012,4
overall,CVE-2016-6313,4
overall,CVE-2014-0142,4
overall,CVE-2019-13111,4
overall,CVE-2019-19948,4
overall,CVE-2019-12380,4
overall,CVE-2013-7226,4
overall,CVE-2021-27212,4
overall,CVE-2021-3409,4
overall,CVE-2020-25692,4
overall,CVE-2015-8608,4
overall,CVE-2017-11166,4
overall,CVE-2019-19227,4
overall,CVE-2014-3684,4
overall,CVE-2021-30500,4
overall,CVE-2019-10149,4
overall,CVE-2017-17784,4
overall,CVE-2018-14665,4
overall,CVE-2017-17723,4
overall,CVE-2019-17266,4
overall,CVE-2019-9956,4
overall,CVE-2018-13153,4
overall,CVE-2019-14452,4
overall,CVE-2011-2768,4
overall,CVE-2016-3739,4
overall,CVE-2020-15503,4
overall,CVE-2020-15180,4
overall,CVE-2016-10905,4
overall,CVE-2019-12976,4
overall,CVE-2016-7414,4
overall,CVE-2018-14551,4
overall,CVE-2011-0989,4
overall,CVE-2019-15926,4
overall,CVE-2018-10733,4
overall,CVE-2022-2526,4
overall,CVE-2008-1948,4
overall,CVE-2018-12547,4
overall,CVE-2020-5310,4
overall,CVE-2012-1108,4
overall,CVE-2019-11598,4
overall,CVE-2022-3213,4
overall,CVE-2018-16329,4
overall,CVE-2020-12278,4
overall,CVE-2021-32055,4
overall,CVE-2018-12617,4
overall,CVE-2013-2126,4
overall,CVE-2016-1248,4
overall,CVE-2021-3156,4
overall,CVE-2015-5070,4
overall,CVE-2011-1488,4
overall,CVE-2011-3627,4
overall,CVE-2018-7725,4
overall,CVE-2015-8370,4
overall,CVE-2019-16709,4
overall,CVE-2008-3275,4
overall,CVE-2011-0904,4
overall,CVE-2011-1750,4
overall,CVE-2012-1177,4
overall,CVE-2012-4502,4
overall,CVE-2014-4877,4
overall,CVE-2017-17786,4
overall,CVE-2016-2182,4
overall,CVE-2016-8652,4
overall,CVE-2019-14889,4
overall,CVE-2021-23841,4
overall,CVE-2021-3507,4
overall,CVE-2022-35414,4
overall,CVE-2020-1918,4
overall,CVE-2020-13848,4
overall,CVE-2021-22222,4
overall,CVE-2014-3566,4
overall,CVE-2020-11608,4
overall,CVE-2021-20309,4
overall,CVE-2021-29477,4
overall,CVE-2021-28903,4
overall,CVE-2020-10251,4
overall,CVE-2014-2583,4
overall,CVE-2020-1760,4
overall,CVE-2022-32546,4
overall,CVE-2022-23589,4
overall,CVE-2021-46784,4
overall,CVE-2022-23558,4
overall,CVE-2022-32978,4
overall,CVE-2021-37665,4
overall,CVE-2021-37687,4
overall,CVE-2022-28463,4
overall,CVE-2022-27666,4
overall,CVE-2022-37032,4
overall,CVE-2018-25033,4
overall,CVE-2021-28972,4
overall,CVE-2022-24950,4
overall,CVE-2022-0847,4
overall,CVE-2020-16166,4
overall,CVE-2021-32037,4
overall,CVE-2022-0669,4
overall,CVE-2013-4668,4
overall,CVE-2017-9740,3
overall,CVE-2017-9618,3
overall,CVE-2016-6304,3
overall,CVE-2016-6302,3
overall,CVE-2017-14041,3
overall,CVE-2017-11310,3
overall,CVE-2017-9142,3
overall,CVE-2016-4796,3
overall,CVE-2018-16790,3
overall,CVE-2018-6927,3
overall,CVE-2018-6197,3
overall,CVE-2019-12818,3
overall,CVE-2016-2429,3
overall,CVE-2017-9739,3
overall,CVE-2014-9718,3
overall,CVE-2014-7815,3
overall,CVE-2017-14227,3
overall,CVE-2018-9422,3
overall,CVE-2016-9439,3
overall,CVE-2018-12599,3
overall,CVE-2014-0224,3
overall,CVE-2013-6449,2
overall,CVE-2015-7665,2
overall,CVE-2018-1000037,2
overall,CVE-2018-20482,2
overall,CVE-2018-20103,2
overall,CVE-2017-16852,2
overall,CVE-2019-15938,2
overall,CVE-2019-15937,2
overall,CVE-2017-15873,2
overall,CVE-2011-2895,2
overall,CVE-2017-15650,2
overall,CVE-2013-4474,2
overall,CVE-2013-4473,2
overall,CVE-2019-14975,2
overall,CVE-2015-5352,2
overall,CVE-2018-17961,2
overall,CVE-2015-5252,2
overall,CVE-2019-13636,2
overall,CVE-2011-2200,2
overall,CVE-2011-1943,2
overall,CVE-2017-13720,2
overall,CVE-2018-16542,2
overall,CVE-2018-16541,2
overall,CVE-2018-16513,2
overall,CVE-2019-12382,2
overall,CVE-2015-3281,2
overall,CVE-2015-3193,2
overall,CVE-2017-11714,2
overall,CVE-2019-11360,2
overall,CVE-2018-14036,2
overall,CVE-2017-9726,2
overall,CVE-2013-0292,2
overall,CVE-2017-9619,2
overall,CVE-2010-4707,2
overall,CVE-2017-9461,2
overall,CVE-2015-0292,2
overall,CVE-2015-0290,2
overall,CVE-2015-0287,2
overall,CVE-2015-0286,2
overall,CVE-2015-0285,2
overall,CVE-2017-8934,2
overall,CVE-2012-5670,2
overall,CVE-2012-5669,2
overall,CVE-2017-8849,2
overall,CVE-2014-9745,2
overall,CVE-2018-11469,2
overall,CVE-2014-9672,2
overall,CVE-2014-9670,2
overall,CVE-2014-9669,2
overall,CVE-2014-9666,2
overall,CVE-2014-9658,2
overall,CVE-2014-9656,2
overall,CVE-2017-8287,2
overall,CVE-2017-8105,2
overall,CVE-2010-4352,2
overall,CVE-2017-7864,2
overall,CVE-2017-7857,2
overall,CVE-2017-7511,2
overall,CVE-2017-7476,2
overall,CVE-2010-3855,2
overall,CVE-2018-10184,2
overall,CVE-2016-7953,2
overall,CVE-2016-7944,2
overall,CVE-2016-7424,2
overall,CVE-2017-6542,2
overall,CVE-2016-7052,2
overall,CVE-2017-6414,2
overall,CVE-2017-6355,2
overall,CVE-2017-6317,2
overall,CVE-2017-6210,2
overall,CVE-2017-6209,2
overall,CVE-2017-5994,2
overall,CVE-2017-5956,2
overall,CVE-2012-3291,2
overall,CVE-2016-6301,2
overall,CVE-2010-2805,2
overall,CVE-2017-5580,2
overall,CVE-2014-6269,2
overall,CVE-2017-5330,2
overall,CVE-2010-2520,2
overall,CVE-2010-2519,2
overall,CVE-2010-2500,2
overall,CVE-2010-2499,2
overall,CVE-2010-2498,2
overall,CVE-2010-2497,2
overall,CVE-2016-5407,2
overall,CVE-2018-6951,2
overall,CVE-2018-6942,2
overall,CVE-2018-6791,2
overall,CVE-2014-4883,2
overall,CVE-2010-1642,2
overall,CVE-2016-3994,2
overall,CVE-2016-3993,2
overall,CVE-2019-1563,2
overall,CVE-2008-1950,2
overall,CVE-2018-5388,2
overall,CVE-2014-3509,2
overall,CVE-2014-3508,2
overall,CVE-2016-2860,2
