scope,cve,count
overall,CVE-2005-4881,38
overall,CVE-2019-19532,28
overall,CVE-2018-8799,20
overall,CVE-2021-3416,18
overall,CVE-2019-19275,16
overall,CVE-2013-6825,16
overall,CVE-2018-16643,14
overall,CVE-2014-0143,14
overall,CVE-2013-0169,14
overall,CVE-2020-8265,14
overall,CVE-2019-19083,14
overall,CVE-2014-3184,12
overall,CVE-2013-7270,12
overall,CVE-2020-11089,12
overall,CVE-2021-3712,12
overall,CVE-2015-5330,10
overall,CVE-2018-20846,10
overall,CVE-2016-0826,10
overall,CVE-2014-0064,10
overall,CVE-2019-19082,10
overall,CVE-2021-20305,10
overall,CVE-2009-3001,9
overall,CVE-2009-3605,8
overall,CVE-2014-4502,8
overall,CVE-2019-13219,8
overall,CVE-2013-1824,8
overall,CVE-2014-8321,8
overall,CVE-2017-6903,8
overall,CVE-2021-41206,8
overall,CVE-2017-14500,8
overall,CVE-2020-5208,8
overall,CVE-2014-0144,8
overall,CVE-2014-6272,8
overall,CVE-2018-5711,8
overall,CVE-2019-12974,8
overall,CVE-2018-14044,8
overall,CVE-2020-1971,8
overall,CVE-2021-36978,8
overall,CVE-2017-15994,6
overall,CVE-2013-0166,6
overall,CVE-2012-1573,6
overall,CVE-2010-4818,6
overall,CVE-2015-3197,6
overall,CVE-2014-9746,6
overall,CVE-2017-7526,6
overall,CVE-2013-6763,6
overall,CVE-2014-2523,6
overall,CVE-2013-7265,6
overall,CVE-2015-1791,6
overall,CVE-2015-0204,6
train,CVE-2005-4881,38
train,CVE-2019-19532,28
train,CVE-2018-8799,20
train,CVE-2019-19275,16
train,CVE-2013-6825,16
train,CVE-2018-16643,14
train,CVE-2014-0143,14
train,CVE-2013-0169,14
train,CVE-2020-8265,14
train,CVE-2014-3184,12
train,CVE-2013-7270,12
train,CVE-2015-5330,10
train,CVE-2018-20846,10
train,CVE-2016-0826,10
train,CVE-2014-0064,10
train,CVE-2019-19082,10
train,CVE-2020-11089,10
train,CVE-2021-3712,10
train,CVE-2009-3001,9
train,CVE-2009-3605,8
train,CVE-2019-13219,8
train,CVE-2013-1824,8
train,CVE-2014-8321,8
train,CVE-2017-6903,8
train,CVE-2017-14500,8
train,CVE-2021-3416,8
train,CVE-2014-0144,8
train,CVE-2018-5711,8
train,CVE-2019-12974,8
train,CVE-2018-14044,8
valid,CVE-2019-19083,14
valid,CVE-2021-36978,8
valid,CVE-2020-36313,6
valid,CVE-2019-19924,6
valid,CVE-2021-30045,6
valid,CVE-2020-1918,4
valid,CVE-2020-5235,4
valid,CVE-2020-13848,4
valid,CVE-2021-22222,4
valid,CVE-2013-1643,4
valid,CVE-2020-11608,4
valid,CVE-2021-20309,4
valid,CVE-2020-16135,4
valid,CVE-2021-29477,4
valid,CVE-2021-28903,4
valid,CVE-2020-10251,4
valid,CVE-2020-5208,4
valid,CVE-2021-3416,4
valid,CVE-2014-2583,4
valid,CVE-2021-42917,2
valid,CVE-2022-23561,2
valid,CVE-2021-31616,2
valid,CVE-2021-32272,2
valid,CVE-2022-0080,2
valid,CVE-2022-23582,2
valid,CVE-2022-21741,2
valid,CVE-2021-45095,2
valid,CVE-2020-25427,2
valid,CVE-2020-12141,2
valid,CVE-2020-1888,2
test,CVE-2021-41072,6
test,CVE-2021-40153,6
test,CVE-2021-3416,6
test,CVE-2021-41206,4
test,CVE-2022-32546,4
test,CVE-2022-23589,4
test,CVE-2021-46784,4
test,CVE-2022-23558,4
test,CVE-2022-32978,4
test,CVE-2021-37665,4
test,CVE-2021-37687,4
test,CVE-2022-28463,4
test,CVE-2022-27666,4
test,CVE-2022-37032,4
test,CVE-2018-25033,4
test,CVE-2021-28972,4
test,CVE-2022-24950,4
test,CVE-2022-0847,4
test,CVE-2020-16166,4
test,CVE-2021-32037,4
test,CVE-2022-0669,4
test,CVE-2013-4668,4
test,CVE-2022-32547,2
test,CVE-2022-32545,2
test,CVE-2022-23578,2
test,CVE-2022-23577,2
test,CVE-2022-23581,2
test,CVE-2021-40576,2
test,CVE-2022-23588,2
test,CVE-2021-45379,2
