scope,cwe,count
overall,CWE-119,1097
overall,CWE-125,1006
overall,CWE-787,818
overall,CWE-20,745
overall,CWE-476,603
overall,CWE-200,482
overall,CWE-416,460
overall,CWE-703,419
overall,CWE-190,341
overall,CWE-399,311
overall,CWE-264,289
overall,CWE-189,269
overall,CWE-369,206
overall,CWE-401,200
overall,CWE-362,158
overall,CWE-772,153
overall,CWE-415,130
overall,CWE-310,118
overall,CWE-284,118
overall,CWE-835,115
overall,CWE-120,108
overall,CWE-617,94
overall,CWE-22,80
overall,CWE-400,62
overall,CWE-78,50
overall,CWE-269,48
overall,CWE-79,40
overall,CWE-59,36
overall,CWE-254,32
overall,CWE-94,32
overall,CWE-770,32
overall,CWE-665,32
overall,CWE-287,30
overall,CWE-17,28
overall,CWE-704,24
overall,CWE-834,24
overall,CWE-754,24
overall,CWE-755,22
overall,CWE-295,20
overall,CWE-19,18
overall,CWE-77,18
overall,CWE-674,18
overall,CWE-354,16
overall,CWE-320,16
overall,CWE-862,16
overall,CWE-74,16
overall,CWE-824,16
overall,CWE-843,16
overall,CWE-252,16
overall,CWE-388,14
overall,CWE-134,14
overall,CWE-122,14
overall,CWE-276,14
overall,CWE-347,12
overall,CWE-345,12
overall,CWE-909,12
overall,CWE-61,12
overall,CWE-681,12
overall,CWE-763,12
overall,CWE-193,12
overall,CWE-908,12
overall,CWE-327,10
overall,CWE-532,10
overall,CWE-129,10
overall,CWE-89,8
overall,CWE-241,8
overall,CWE-285,8
overall,CWE-601,8
overall,CWE-522,8
overall,CWE-863,8
overall,CWE-191,8
overall,CWE-326,7
overall,CWE-732,6
overall,CWE-668,6
overall,CWE-682,6
overall,CWE-697,6
overall,CWE-331,4
overall,CWE-404,4
overall,CWE-352,4
overall,CWE-918,4
overall,CWE-502,4
overall,CWE-552,4
overall,CWE-294,4
overall,CWE-203,4
overall,CWE-212,4
overall,CWE-131,4
overall,CWE-93,4
overall,CWE-672,4
overall,CWE-667,4
overall,CWE-444,4
overall,CWE-209,2
overall,CWE-311,2
overall,CWE-16,2
overall,CWE-290,2
overall,CWE-361,2
overall,CWE-1021,2
overall,CWE-664,2
overall,CWE-172,2
overall,CWE-639,2
overall,CWE-707,2
overall,CWE-417,2
overall,CWE-281,2
overall,CWE-255,2
overall,CWE-346,2
overall,CWE-273,2
overall,CWE-116,2
overall,CWE-307,2
overall,CWE-798,2
overall,CWE-670,2
overall,CWE-121,2
overall,CWE-613,2
overall,CWE-611,2
overall,CWE-459,2
overall,CWE-565,2
overall,CWE-706,2
overall,CWE-662,2
overall,CWE-288,2
overall,CWE-434,2
overall,CWE-924,2
overall,CWE-275,2
overall,NVD-CWE-Other,1
train,CWE-119,1041
train,CWE-125,790
train,CWE-20,697
train,CWE-787,514
train,CWE-476,437
train,CWE-200,420
train,CWE-416,352
train,CWE-399,297
train,CWE-264,282
train,CWE-190,279
train,CWE-703,256
train,CWE-189,245
train,CWE-401,158
train,CWE-772,143
train,CWE-362,128
train,CWE-369,116
train,CWE-310,104
train,CWE-284,100
train,CWE-415,98
train,CWE-835,91
train,CWE-120,70
train,CWE-22,60
train,CWE-617,58
train,CWE-400,50
train,CWE-78,46
train,CWE-269,34
train,CWE-79,32
train,CWE-59,30
train,CWE-254,30
train,CWE-17,26
train,CWE-94,26
train,CWE-287,26
train,CWE-770,26
train,CWE-834,22
train,CWE-754,20
train,CWE-665,20
train,CWE-704,18
train,CWE-320,16
train,CWE-19,16
train,CWE-388,14
train,CWE-674,14
train,CWE-347,12
train,CWE-755,12
train,CWE-74,12
train,CWE-824,12
train,CWE-77,12
train,CWE-295,12
train,CWE-61,12
train,CWE-252,12
train,CWE-345,10
train,CWE-862,10
train,CWE-532,10
train,CWE-129,10
train,CWE-909,10
train,CWE-134,10
train,CWE-843,10
train,CWE-681,10
train,CWE-763,10
train,CWE-354,8
train,CWE-89,8
train,CWE-241,8
train,CWE-285,8
train,CWE-276,8
train,CWE-327,6
train,CWE-601,6
train,CWE-682,6
train,CWE-697,6
train,CWE-863,6
train,CWE-193,6
train,CWE-908,6
train,CWE-326,5
train,CWE-331,4
train,CWE-404,4
train,CWE-352,4
train,CWE-522,4
train,CWE-732,4
train,CWE-918,4
train,CWE-502,4
train,CWE-122,4
train,CWE-294,4
train,CWE-131,4
train,CWE-93,4
train,CWE-209,2
train,CWE-311,2
train,CWE-16,2
train,CWE-290,2
train,CWE-361,2
train,CWE-1021,2
train,CWE-668,2
train,CWE-664,2
train,CWE-172,2
train,CWE-639,2
train,CWE-707,2
train,CWE-552,2
train,CWE-417,2
train,CWE-281,2
train,CWE-203,2
train,CWE-212,2
train,CWE-255,2
train,CWE-191,2
train,CWE-346,2
train,CWE-273,2
train,CWE-116,2
train,CWE-307,2
train,CWE-672,2
train,CWE-798,2
train,CWE-670,2
train,CWE-667,2
train,CWE-121,2
train,CWE-444,2
train,CWE-613,2
train,NVD-CWE-Other,1
valid,CWE-787,160
valid,CWE-125,122
valid,CWE-476,88
valid,CWE-703,70
valid,CWE-369,62
valid,CWE-416,50
valid,CWE-190,40
valid,CWE-200,30
valid,CWE-119,28
valid,CWE-401,26
valid,CWE-120,24
valid,CWE-20,20
valid,CWE-835,14
valid,CWE-362,14
valid,CWE-189,14
valid,CWE-617,12
valid,CWE-415,12
valid,CWE-284,10
valid,CWE-665,10
valid,CWE-310,10
valid,CWE-755,10
valid,CWE-22,8
valid,CWE-399,8
valid,CWE-400,6
valid,CWE-295,6
valid,CWE-77,6
valid,CWE-269,6
valid,CWE-772,6
valid,CWE-122,4
valid,CWE-354,4
valid,CWE-78,4
valid,CWE-74,4
valid,CWE-674,4
valid,CWE-862,4
valid,CWE-770,4
valid,CWE-79,4
valid,CWE-264,4
valid,CWE-763,2
valid,CWE-94,2
valid,CWE-134,2
valid,CWE-19,2
valid,CWE-326,2
valid,CWE-611,2
valid,CWE-459,2
valid,CWE-193,2
valid,CWE-522,2
valid,CWE-565,2
valid,CWE-706,2
valid,CWE-667,2
valid,CWE-704,2
valid,CWE-252,2
valid,CWE-824,2
valid,CWE-601,2
valid,CWE-668,2
valid,CWE-59,2
valid,CWE-662,2
valid,CWE-327,2
valid,CWE-254,2
valid,CWE-203,2
valid,CWE-908,2
valid,CWE-276,2
valid,CWE-287,2
valid,CWE-681,2
test,CWE-787,144
test,CWE-125,94
test,CWE-703,93
test,CWE-476,78
test,CWE-416,58
test,CWE-200,32
test,CWE-369,28
test,CWE-20,28
test,CWE-119,28
test,CWE-617,24
test,CWE-190,22
test,CWE-415,20
test,CWE-401,16
test,CWE-362,16
test,CWE-120,14
test,CWE-22,12
test,CWE-189,10
test,CWE-835,10
test,CWE-269,8
test,CWE-284,8
test,CWE-843,6
test,CWE-400,6
test,CWE-399,6
test,CWE-122,6
test,CWE-191,6
test,CWE-704,4
test,CWE-354,4
test,CWE-754,4
test,CWE-908,4
test,CWE-276,4
test,CWE-310,4
test,CWE-59,4
test,CWE-772,4
test,CWE-94,4
test,CWE-193,4
test,CWE-79,4
test,CWE-264,3
test,CWE-287,2
test,CWE-909,2
test,CWE-862,2
test,CWE-295,2
test,CWE-522,2
test,CWE-134,2
test,CWE-552,2
test,CWE-252,2
test,CWE-345,2
test,CWE-824,2
test,CWE-288,2
test,CWE-444,2
test,CWE-665,2
test,CWE-212,2
test,CWE-434,2
test,CWE-834,2
test,CWE-672,2
test,CWE-924,2
test,CWE-863,2
test,CWE-17,2
test,CWE-668,2
test,CWE-732,2
test,CWE-275,2
test,CWE-770,2
test,CWE-327,2
