scope,cwe,count
overall,CWE-119,1097
overall,CWE-125,1006
overall,CWE-787,818
overall,CWE-20,745
overall,CWE-476,603
overall,CWE-200,482
overall,CWE-416,460
overall,CWE-703,419
overall,CWE-190,341
overall,CWE-399,311
overall,CWE-264,289
overall,CWE-189,269
overall,CWE-369,206
overall,CWE-401,200
overall,CWE-362,158
overall,CWE-772,153
overall,CWE-415,130
overall,CWE-310,118
overall,CWE-284,118
overall,CWE-835,115
overall,CWE-120,108
overall,CWE-617,94
overall,CWE-22,80
overall,CWE-400,62
overall,CWE-78,50
overall,CWE-269,48
overall,CWE-79,40
overall,CWE-59,36
overall,CWE-254,32
overall,CWE-94,32
overall,CWE-770,32
overall,CWE-665,32
overall,CWE-287,30
overall,CWE-17,28
overall,CWE-704,24
overall,CWE-834,24
overall,CWE-754,24
overall,CWE-755,22
overall,CWE-295,20
overall,CWE-19,18
overall,CWE-77,18
overall,CWE-674,18
overall,CWE-354,16
overall,CWE-320,16
overall,CWE-862,16
overall,CWE-74,16
overall,CWE-824,16
overall,CWE-843,16
overall,CWE-252,16
overall,CWE-388,14
train,CWE-119,1041
train,CWE-125,790
train,CWE-20,697
train,CWE-787,514
train,CWE-476,437
train,CWE-200,420
train,CWE-416,352
train,CWE-399,297
train,CWE-264,282
train,CWE-190,279
train,CWE-703,256
train,CWE-189,245
train,CWE-401,158
train,CWE-772,143
train,CWE-362,128
train,CWE-369,116
train,CWE-310,104
train,CWE-284,100
train,CWE-415,98
train,CWE-835,91
train,CWE-120,70
train,CWE-22,60
train,CWE-617,58
train,CWE-400,50
train,CWE-78,46
train,CWE-269,34
train,CWE-79,32
train,CWE-59,30
train,CWE-254,30
train,CWE-17,26
valid,CWE-787,160
valid,CWE-125,122
valid,CWE-476,88
valid,CWE-703,70
valid,CWE-369,62
valid,CWE-416,50
valid,CWE-190,40
valid,CWE-200,30
valid,CWE-119,28
valid,CWE-401,26
valid,CWE-120,24
valid,CWE-20,20
valid,CWE-835,14
valid,CWE-362,14
valid,CWE-189,14
valid,CWE-617,12
valid,CWE-415,12
valid,CWE-284,10
valid,CWE-665,10
valid,CWE-310,10
valid,CWE-755,10
valid,CWE-22,8
valid,CWE-399,8
valid,CWE-400,6
valid,CWE-295,6
valid,CWE-77,6
valid,CWE-269,6
valid,CWE-772,6
valid,CWE-122,4
valid,CWE-354,4
test,CWE-787,144
test,CWE-125,94
test,CWE-703,93
test,CWE-476,78
test,CWE-416,58
test,CWE-200,32
test,CWE-369,28
test,CWE-20,28
test,CWE-119,28
test,CWE-617,24
test,CWE-190,22
test,CWE-415,20
test,CWE-401,16
test,CWE-362,16
test,CWE-120,14
test,CWE-22,12
test,CWE-189,10
test,CWE-835,10
test,CWE-269,8
test,CWE-284,8
test,CWE-843,6
test,CWE-400,6
test,CWE-399,6
test,CWE-122,6
test,CWE-191,6
test,CWE-704,4
test,CWE-354,4
test,CWE-754,4
test,CWE-908,4
test,CWE-276,4
